Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,CRUZ ROJA COLOMBIANA SCB SEDE NORTE - USAQUEN,COLOMBIA,CUNDINAMARCA,GIRARDOT,CRUZ ROJA COLOMBIANA SCB SEDE NORTE - USAQUEN_CUNDINAMARCA_GIRARDOT
4,COMIT+ DEPARTAMENTAL DE LA CRUZ ROJA DE BOLIVAR,COLOMBIA,BOLIVAR,CARTAGENA,COMIT+ DEPARTAMENTAL DE LA CRUZ ROJA DE BOLIVAR_BOLIVAR_CARTAGENA
3,ESE HOSPITAL LOCAL DE PUERTO ASIS,COLOMBIA,PUTUMAYO,PUERTO ASIS,ESE HOSPITAL LOCAL DE PUERTO ASIS_PUTUMAYO_PUERTO ASIS
3,ESE HOSPITAL LOCAL DE PUERTO ASIS,COLOMBIA,PUTUMAYO,MOCOA,ESE HOSPITAL LOCAL DE PUERTO ASIS_PUTUMAYO_MOCOA
4,CLINICA NUESTRA SEÑORA DEL ROSARIO,COLOMBIA,MAGDALENA,SANTA MARTHA,CLINICA NUESTRA SEÑORA DEL ROSARIO_MAGDALENA_SANTA MARTHA
3,CLINICA PEDIATRICA NIÑO JESUS LTDA,COLOMBIA,SUCRE,SINCELEJO,CLINICA PEDIATRICA NIÑO JESUS LTDA_SUCRE_SINCELEJO
4,CLINICA PIEDECUESTA SA,COLOMBIA,SANTANDER,PIEDECUESTA,CLINICA PIEDECUESTA SA_SANTANDER_PIEDECUESTA
4,UNION TEMPORAL DEL NORTE,COLOMBIA,SAN ANDRES,SAN ANDRES,UNION TEMPORAL DEL NORTE_SAN ANDRES_SAN ANDRES
4,UNION TEMPORAL DEL NORTE,COLOMBIA,ANTIOQUIA,SAN ANDRES,UNION TEMPORAL DEL NORTE_ANTIOQUIA_SAN ANDRES
4,UNISALUD UNIDAD DE SERVICIOS DE SALUD UNIVERSIDAD,COLOMBIA,SAN ANDRES,SAN ANDRES,UNISALUD UNIDAD DE SERVICIOS DE SALUD UNIVERSIDAD_SAN ANDRES_SAN ANDRES
4,UNISALUD UNIDAD DE SERVICIOS DE SALUD UNIVERSIDAD,COLOMBIA,MAGDALENA,SANTA MARTHA,UNISALUD UNIDAD DE SERVICIOS DE SALUD UNIVERSIDAD_MAGDALENA_SANTA MARTHA
4,UNISALUD UNIDAD DE SERVICIOS DE SALUD UNIVERSIDAD,COLOMBIA,CUNDINAMARCA,LA MESA,UNISALUD UNIDAD DE SERVICIOS DE SALUD UNIVERSIDAD_CUNDINAMARCA_LA MESA
4,UPA FREDONIA,COLOMBIA,BOLIVAR,CARTAGENA,UPA FREDONIA_BOLIVAR_CARTAGENA
4,UPP MACARENA SALUDTOTAL IBAGUE,COLOMBIA,TOLIMA,IBAGUE,UPP MACARENA SALUDTOTAL IBAGUE_TOLIMA_IBAGUE
4,ESE CENTRO DE SALUD DE ZAPAYAN,COLOMBIA,MAGDALENA,ZAPAYAN,ESE CENTRO DE SALUD DE ZAPAYAN_MAGDALENA_ZAPAYAN
4,PUESTO DE SALUD MARCELIANO BRUGES,COLOMBIA,MAGDALENA,CIENAGA,PUESTO DE SALUD MARCELIANO BRUGES_MAGDALENA_CIENAGA
