Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,ESE HOSPITAL SAN LUCAS,COLOMBIA,GUAJIRA,EL MOLINO,ESE HOSPITAL SAN LUCAS_GUAJIRA_EL MOLINO
4,MEDICAUCA,COLOMBIA,ANTIOQUIA,EL BAGRE,MEDICAUCA_ANTIOQUIA_EL BAGRE
4,CENTRAL DE URGENCIAS ESPINAL CORPORACION IPS SALUD,COLOMBIA,TOLIMA,GUAMO,CENTRAL DE URGENCIAS ESPINAL CORPORACION IPS SALUD_TOLIMA_GUAMO
3,HOSPITAL JORGE ISAAC RINCON TORRES,COLOMBIA,CESAR,LA JAGUA DE IBIRICO,HOSPITAL JORGE ISAAC RINCON TORRES_CESAR_LA JAGUA DE IBIRICO
4,EDWIN ARMANDO CALVO RAMOS,COLOMBIA,BOLIVAR,SAN JUAN NEPOMUCENO,EDWIN ARMANDO CALVO RAMOS_BOLIVAR_SAN JUAN NEPOMUCENO
4,ESE HOSPITAL LOCAL TURBACO,COLOMBIA,BOLIVAR,TURBACO,ESE HOSPITAL LOCAL TURBACO_BOLIVAR_TURBACO
4,IPS MEDISALUD DEL CAUCA,COLOMBIA,ANTIOQUIA,NECHI,IPS MEDISALUD DEL CAUCA_ANTIOQUIA_NECHI
4,IPS SALUD DEL CARIBE SANTA LUCIA,COLOMBIA,BOLIVAR,CARTAGENA,IPS SALUD DEL CARIBE SANTA LUCIA_BOLIVAR_CARTAGENA
4,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE ALGARR,COLOMBIA,MAGDALENA,ALGARROBO,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE ALGARR_MAGDALENA_ALGARROBO
4,GESTION SALUD,COLOMBIA,BOLIVAR,TURBACO,GESTION SALUD_BOLIVAR_TURBACO
4,MEDIHELP SERVICES COLOMBIA,COLOMBIA,BOLIVAR,CARTAGENA,MEDIHELP SERVICES COLOMBIA_BOLIVAR_CARTAGENA
4,ESE HOSPITAL DE BARANOA,COLOMBIA,ATLANTICO,BARANOA,ESE HOSPITAL DE BARANOA_ATLANTICO_BARANOA
4,CLINICA ESPECIALIZADA LA CONCEPCION SAS,COLOMBIA,SUCRE,SAMPUES,CLINICA ESPECIALIZADA LA CONCEPCION SAS_SUCRE_SAMPUES
4,CLINICA DE ESPECIALISTAS MARIA AUXILIADORA LIMITAD,COLOMBIA,CESAR,AGUACHICA,CLINICA DE ESPECIALISTAS MARIA AUXILIADORA LIMITAD_CESAR_AGUACHICA
4,ESE HOSPITAL DEL SARARE,COLOMBIA,ARAUCA,SARAVENA,ESE HOSPITAL DEL SARARE_ARAUCA_SARAVENA
4,ESE UNIDAD DE SALUD SAN FRANCISCO DE ASIS,COLOMBIA,SUCRE,SINCELEJO,ESE UNIDAD DE SALUD SAN FRANCISCO DE ASIS_SUCRE_SINCELEJO
4,COPRESALUD SA IPS LA MAGDALENA,COLOMBIA,BOLIVAR,CARTAGENA,COPRESALUD SA IPS LA MAGDALENA_BOLIVAR_CARTAGENA
4,SALUVIG SAS IPS,COLOMBIA,BOLIVAR,EL CARMEN DE BOLIVAR,SALUVIG SAS IPS_BOLIVAR_EL CARMEN DE BOLIVAR
4,UNIDAD BASICA LA LIBERTAD,COLOMBIA,NORTE SANTANDER,CUCUTA,UNIDAD BASICA LA LIBERTAD_NORTE SANTANDER_CUCUTA
4,PUNTO COOMEVA CUCUTA,COLOMBIA,NORTE SANTANDER,CUCUTA,PUNTO COOMEVA CUCUTA_NORTE SANTANDER_CUCUTA
4,PUESTO DE SALUD COLOMBIA,COLOMBIA,ATLANTICO,SABANALARGA,PUESTO DE SALUD COLOMBIA_ATLANTICO_SABANALARGA
4,CORPORACION IPS COSTA ATLANTICA IPS FUNDACION,COLOMBIA,MAGDALENA,ARACATACA,CORPORACION IPS COSTA ATLANTICA IPS FUNDACION_MAGDALENA_ARACATACA
4,IPS UNIVERSITARIA HOSPITAL GENERAL DE BARRANQUILLA,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA HOSPITAL GENERAL DE BARRANQUILLA_ATLANTICO_BARRANQUILLA
4,COOMEVA ENTIDAD PROMOTORA DE SALUD SA,COLOMBIA,GUAJIRA,ALBANIA,COOMEVA ENTIDAD PROMOTORA DE SALUD SA_GUAJIRA_ALBANIA
4,COOMEVA EPS PUNTO DE ATENCION PUERTO BOLIVAR,COLOMBIA,GUAJIRA,BARRANCAS,COOMEVA EPS PUNTO DE ATENCION PUERTO BOLIVAR_GUAJIRA_BARRANCAS
3,ESE HOSPITAL SANTA TERESA,COLOMBIA,HUILA,TESALIA,ESE HOSPITAL SANTA TERESA_HUILA_TESALIA
4,ESE HOSPITAL LA DIVINA MISERICORDIA,COLOMBIA,BOLIVAR,MAGANGUE,ESE HOSPITAL LA DIVINA MISERICORDIA_BOLIVAR_MAGANGUE
4,CLINICA ZAYMA LTDA,COLOMBIA,CORDOBA,MONTERIA,CLINICA ZAYMA LTDA_CORDOBA_MONTERIA
3,POLICIA NACIONAL SANIDAD,COLOMBIA,GUAJIRA,SAN JUAN DEL CESAR,POLICIA NACIONAL SANIDAD_GUAJIRA_SAN JUAN DEL CESAR
4,COOMEVA EPS MEDICINA PREPAGADA,COLOMBIA,BOLIVAR,MAGANGUE,COOMEVA EPS MEDICINA PREPAGADA_BOLIVAR_MAGANGUE
4,MEDISAN LTDA,COLOMBIA,BOLIVAR,SAN JUAN NEPOMUCENO,MEDISAN LTDA_BOLIVAR_SAN JUAN NEPOMUCENO
4,CLINICA SALUDCOOP MEDELLIN,COLOMBIA,ANTIOQUIA,MEDELLIN,CLINICA SALUDCOOP MEDELLIN_ANTIOQUIA_MEDELLIN
4,CAP ARROZ BARATO,COLOMBIA,BOLIVAR,CARTAGENA,CAP ARROZ BARATO_BOLIVAR_CARTAGENA
4,ESE HOSPITAL LOCAL DE CHIVOLO,COLOMBIA,MAGDALENA,CHIVOLO,ESE HOSPITAL LOCAL DE CHIVOLO_MAGDALENA_CHIVOLO
4,CLINICA EL AMPARO,COLOMBIA,MAGDALENA,FUNDACION,CLINICA EL AMPARO_MAGDALENA_FUNDACION
3,HOSPITAL LOCAL ZONA BANANERA - TUCURINCA,COLOMBIA,MAGDALENA,ZONA BANANERA,HOSPITAL LOCAL ZONA BANANERA - TUCURINCA_MAGDALENA_ZONA BANANERA
4,ESE HOSPITAL LAURA PERDOMO DE GARCIA,COLOMBIA,HUILA,YAGUARA,ESE HOSPITAL LAURA PERDOMO DE GARCIA_HUILA_YAGUARA
4,ESE HOSPITAL SAN CRISTOBAL,COLOMBIA,MAGDALENA,CIENAGA,ESE HOSPITAL SAN CRISTOBAL_MAGDALENA_CIENAGA
4,ESE HOSPITAL LOCAL ZONA BANANERA GUACAMAYAL,COLOMBIA,MAGDALENA,ZONA BANANERA,ESE HOSPITAL LOCAL ZONA BANANERA GUACAMAYAL_MAGDALENA_ZONA BANANERA
4,CLINICA REGIONAL INMACULADA CONCEPCION,COLOMBIA,MAGDALENA,PLATO,CLINICA REGIONAL INMACULADA CONCEPCION_MAGDALENA_PLATO
4,ESE HOSPITAL SAN PEDRO DE EL PIÑON SEDE CARRETO,COLOMBIA,MAGDALENA,ZAPAYAN,ESE HOSPITAL SAN PEDRO DE EL PIÑON SEDE CARRETO_MAGDALENA_ZAPAYAN
4,UAB LOPERENA SALUD TOTAL EPS SA,COLOMBIA,CESAR,VALLEDUPAR,UAB LOPERENA SALUD TOTAL EPS SA_CESAR_VALLEDUPAR
