Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,CLINISANITAS CEDRO BOLIVAR - USAQUEN,COLOMBIA,BOGOTA,BOGOTA,CLINISANITAS CEDRO BOLIVAR - USAQUEN_BOGOTA_BOGOTA
4,CAFESALUD CAFI CL 56,COLOMBIA,BOGOTA,BOGOTA,CAFESALUD CAFI CL 56_BOGOTA_BOGOTA
4,CORVESALUD LTDA-KENNEDY,COLOMBIA,BOGOTA,BOGOTA,CORVESALUD LTDA-KENNEDY_BOGOTA_BOGOTA
4,HOSPITAL MILITAR CENTRAL,COLOMBIA,CUNDINAMARCA,* CUNDINAMARCA. MUNICIPIO DESCONOCIDO,HOSPITAL MILITAR CENTRAL_CUNDINAMARCA_* CUNDINAMARCA. MUNICIPIO DESCONOCIDO
4,GANE SALUD CON GANE LTDA ANTONIO NARIÑO,COLOMBIA,BOGOTA,BOGOTA,GANE SALUD CON GANE LTDA ANTONIO NARIÑO_BOGOTA_BOGOTA
4,ESE HOSPITAL OCCIDENTE DE KENNEDY III NIVEL,COLOMBIA,BOGOTA,BOGOTA,ESE HOSPITAL OCCIDENTE DE KENNEDY III NIVEL_BOGOTA_BOGOTA
4,CAJA COMPENSACION FAMILIAR CAFAM,COLOMBIA,BOGOTA,BOGOTA,CAJA COMPENSACION FAMILIAR CAFAM_BOGOTA_BOGOTA
4,VIRREY SOLIS SANTA LUCIA - TUNJUELITO,COLOMBIA,BOGOTA,BOGOTA,VIRREY SOLIS SANTA LUCIA - TUNJUELITO_BOGOTA_BOGOTA
4,HOSPITAL DE LA MISERICORDIA,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL DE LA MISERICORDIA_BOGOTA_BOGOTA
4,FUNDACION CARDIOINFANTIL INSTITUTO DE CARDIOLOGIA,COLOMBIA,BOGOTA,BOGOTA,FUNDACION CARDIOINFANTIL INSTITUTO DE CARDIOLOGIA_BOGOTA_BOGOTA
4,PREVIMEDIC SUBSIDIADO KENNEDY,COLOMBIA,BOGOTA,BOGOTA,PREVIMEDIC SUBSIDIADO KENNEDY_BOGOTA_BOGOTA
4,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL_BOGOTA_BOGOTA
4,ESE HOSPITAL VISTA HERMOSA I NIVEL-UPA CANDELARIA,COLOMBIA,BOGOTA,BOGOTA,ESE HOSPITAL VISTA HERMOSA I NIVEL-UPA CANDELARIA_BOGOTA_BOGOTA
4,HOSPITAL DEL SUR UBA 65 DINDALITO KENNEDY,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL DEL SUR UBA 65 DINDALITO KENNEDY_BOGOTA_BOGOTA
4,FUNDACION UNIVERSITARIA DEL AREA ANDINA CHAPINER,COLOMBIA,BOGOTA,BOGOTA,FUNDACION UNIVERSITARIA DEL AREA ANDINA CHAPINER_BOGOTA_BOGOTA
4,CAJA DE COMPENSACION FAMILIAR COMPENSAR - FONTIBON,COLOMBIA,BOGOTA,BOGOTA,CAJA DE COMPENSACION FAMILIAR COMPENSAR - FONTIBON_BOGOTA_BOGOTA
4,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,COLOMBIA,CUNDINAMARCA,SOACHA,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL_CUNDINAMARCA_SOACHA
4,CORPORACION IPS CRUZ BLANCA TUNJUELITO,COLOMBIA,BOGOTA,BOGOTA,CORPORACION IPS CRUZ BLANCA TUNJUELITO_BOGOTA_BOGOTA
4,FAMIMEDICA COLSUBSIDIO SUBA,COLOMBIA,BOGOTA,BOGOTA,FAMIMEDICA COLSUBSIDIO SUBA_BOGOTA_BOGOTA
4,VIRREY SOLIS UUBC AMERICAS-PUENTE ARANDA,COLOMBIA,BOGOTA,BOGOTA,VIRREY SOLIS UUBC AMERICAS-PUENTE ARANDA_BOGOTA_BOGOTA
4,CAJA DE COMPENSACION FAMILIAR AFIDRO,COLOMBIA,BOGOTA,BOGOTA,CAJA DE COMPENSACION FAMILIAR AFIDRO_BOGOTA_BOGOTA
4,CENTRO MEDICO COLSUBSIDIO TIERRA GRATA,COLOMBIA,BOGOTA,BOGOTA,CENTRO MEDICO COLSUBSIDIO TIERRA GRATA_BOGOTA_BOGOTA
4,CORPORACION IPS CORVESALUD COODONTOLOGOS NORMANDIA,COLOMBIA,BOGOTA,BOGOTA,CORPORACION IPS CORVESALUD COODONTOLOGOS NORMANDIA_BOGOTA_BOGOTA
4,UPA ESPAÑOLA,COLOMBIA,BOGOTA,BOGOTA,UPA ESPAÑOLA_BOGOTA_BOGOTA
4,CLINISANITAS PRIMAVERA PUENTE ARANDA,COLOMBIA,BOGOTA,BOGOTA,CLINISANITAS PRIMAVERA PUENTE ARANDA_BOGOTA_BOGOTA
4,MEDICHICO IPS SUBA,COLOMBIA,BOGOTA,BOGOTA,MEDICHICO IPS SUBA_BOGOTA_BOGOTA
4,HOSPITAL MEISSEN II NIVEL ESE,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL MEISSEN II NIVEL ESE_BOGOTA_BOGOTA
4,IPS MARCO FIDEL SUAREZ RAFAEL URIBE,COLOMBIA,BOGOTA,BOGOTA,IPS MARCO FIDEL SUAREZ RAFAEL URIBE_BOGOTA_BOGOTA
4,CLINICA SAN FERNANDO KENNEDY,COLOMBIA,BOGOTA,BOGOTA,CLINICA SAN FERNANDO KENNEDY_BOGOTA_BOGOTA
4,HOSPITAL PABLO VI BOSA ESE - UPA CABAÑAS,COLOMBIA,CUNDINAMARCA,SOACHA,HOSPITAL PABLO VI BOSA ESE - UPA CABAÑAS_CUNDINAMARCA_SOACHA
4,H UNIVERSITARIO CLINICA SAN RAFAEL - SAN CRISTOBA,COLOMBIA,BOGOTA,BOGOTA,H UNIVERSITARIO CLINICA SAN RAFAEL - SAN CRISTOBA_BOGOTA_BOGOTA
4,ASISTIR SALUD LTDA FONTIBON,COLOMBIA,BOGOTA,BOGOTA,ASISTIR SALUD LTDA FONTIBON_BOGOTA_BOGOTA
4,SERVICIOS DE SALUD IPS SURA CHICO,COLOMBIA,BOGOTA,BOGOTA,SERVICIOS DE SALUD IPS SURA CHICO_BOGOTA_BOGOTA
4,HOSPITAL RAFAEL URIBE CAMI DIANA TURBAY,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL RAFAEL URIBE CAMI DIANA TURBAY_BOGOTA_BOGOTA
4,CORPORACION IPS CORVESALUD COODONTOLOGOS SANTA BAR,COLOMBIA,BOGOTA,BOGOTA,CORPORACION IPS CORVESALUD COODONTOLOGOS SANTA BAR_BOGOTA_BOGOTA
4,POLICLICA EL SOSIEGO CIA LTDA SAN CRISTOBAL,COLOMBIA,BOGOTA,BOGOTA,POLICLICA EL SOSIEGO CIA LTDA SAN CRISTOBAL_BOGOTA_BOGOTA
4,CAMI ALTAMIRA SAN CRISTOBAL,COLOMBIA,BOGOTA,BOGOTA,CAMI ALTAMIRA SAN CRISTOBAL_BOGOTA_BOGOTA
4,JAVESALUD AUTOPISTA NORTE - USAQUEN,COLOMBIA,BOGOTA,BOGOTA,JAVESALUD AUTOPISTA NORTE - USAQUEN_BOGOTA_BOGOTA
4,SERVICIO MEDICO U. AUTONOMA CANDELARIA,COLOMBIA,BOGOTA,BOGOTA,SERVICIO MEDICO U. AUTONOMA CANDELARIA_BOGOTA_BOGOTA
4,ESTUDIOS E INVERSIONES MEDIC - USAQUEN,COLOMBIA,BOGOTA,BOGOTA,ESTUDIOS E INVERSIONES MEDIC - USAQUEN_BOGOTA_BOGOTA
