ds,Dengue,Zika,Chikungunya,Varicela
2015-11-30,297552.24478020007,10784.411813435963,63138.02509104059,766431.9239291123
2015-12-07,298434.2586569262,12098.510863068619,63397.22715966824,768196.8104031127
2015-12-14,299447.6408541749,13999.804324468918,63697.48990588911,769701.0547270797
2015-12-21,300549.15046173806,16036.25575256327,64090.60015048018,771095.3399176258
2016-01-04,302723.433842094,19294.136404945428,65061.50454268463,774205.7126043375
2016-01-11,303785.3024906558,20612.964531620248,65490.336132702905,775988.4269054808
2016-01-18,304896.7268161904,22248.457640405675,65836.72539168868,777821.7701193629
2016-01-25,306073.7259856843,24378.279671793513,66148.56731919816,779639.2372422898
2016-02-01,307277.74133941036,26753.4312123004,66487.51977500002,781437.6076280473
2016-02-08,308458.2044461124,28982.370316627803,66873.08759629253,783260.7050090323
2016-02-15,309597.0446761573,30923.733950338,67303.01767565277,785162.0659640495
2016-02-22,310708.38097204856,32748.692275064648,67716.68810882946,787192.7923040944
2016-02-29,311804.66104048124,34653.23960312187,68106.66414133593,789320.5664763845
2016-03-07,312875.8867508804,36609.811196097544,68490.26778328777,791496.4026382554
2016-03-14,313904.908998291,38454.58866064543,68883.49701752853,793669.0491083125
2016-03-21,314895.20826977934,40158.08256095513,69286.69658414819,795827.3745530687
2016-03-28,315875.19119268877,41901.6047641675,69692.80196299296,798005.8604364434
2016-04-04,316874.2562887446,43854.011021008715,70099.58601056742,800239.2012203024
2016-04-11,317898.675086111,45944.46531790453,70509.47168560319,802513.1552705585
2016-04-18,318932.37584204203,47935.39513191454,70923.17555505471,804773.220714175
2016-04-25,319958.1329560982,49709.12168843748,71340.4372325314,806987.4538654815
2016-05-02,320975.22973683634,51402.01504287371,71689.77656213751,809186.9423725927
2016-05-09,321998.20824087516,53214.9881188696,72046.90159409301,811425.0232950181
2016-05-16,323041.9126048767,55146.75652060663,72396.63982620044,813696.2248294323
2016-05-23,324107.794306598,56995.803729010026,72708.26244840963,815916.7711661394
2016-05-30,325181.77272616694,58627.98016447635,72962.79320528188,818002.972264323
2016-06-06,326245.15304425324,60159.432380028644,73182.77702684465,819961.2360594303
2016-06-13,327292.3553880141,61810.98349535124,73425.36843175153,821878.2886627227
2016-06-20,328341.50966939295,62949.95790545841,73734.89983029752,823817.7380691646
2016-06-27,329422.5601484465,64044.51854924839,74101.09811797421,825752.1558839506
2016-07-04,330543.5484347365,64931.01446578531,74470.8694982555,827627.3446193071
2016-07-11,331662.9442862731,65741.60599538399,74804.54053238934,829490.3567831522
2016-07-18,332703.88559403643,66804.74314627031,74850.95532091013,831513.4261824279
2016-07-25,333291.3536972451,68275.30362684278,74916.10160193493,833850.1060194939
2016-08-01,333772.2835616487,69924.32262087803,75012.528204076,836462.5245749565
2016-08-08,334244.00692034507,71342.27391644561,75098.43411810814,839119.1907799977
2016-08-15,334801.44058164506,72328.2811967158,75119.02017025366,841591.2732763685
2016-08-22,335460.30945459846,72348.50200889255,75069.60408063502,843854.7640170435
2016-08-29,336152.68099637376,72365.74267371617,75009.69959864426,846089.9638652978
2016-09-05,336799.3169665957,72486.33654940351,75011.71840058408,848484.7017642545
2016-09-12,337384.49320837937,72612.87917015296,75099.37458773878,851054.6949988147
2016-09-19,337958.39586629986,72651.24752173603,75237.76867855761,853662.8700778934
2016-09-26,338572.41376961494,72654.9273287004,75376.26140560508,856192.4743827411
2016-10-03,339224.11907072464,72736.67202243274,75468.6231905488,858668.3729073356
2016-10-10,339871.08682561957,72905.86708622548,75541.64182134556,861200.8287783668
2016-10-17,340488.7344996213,73070.15395575673,75601.66523268259,863837.586287741
2016-10-24,341097.0913317093,72832.18398986092,75643.812579802,866502.8932250342
2016-10-31,341723.80126797716,72626.21940658256,75663.79166644167,869081.455785477
2016-11-07,342353.0363099104,72527.85772271722,75668.65021211233,871530.4191835647
2016-11-14,342930.967717746,72470.02558795382,75665.3626433597,873882.4036614649
2016-11-21,343430.3956826818,72311.87526597409,75644.42146986346,876148.0036428616
2016-11-28,343900.960001562,72054.31344500108,75589.9332360284,878251.4279778553
2016-12-05,344440.3578029763,71903.51137417635,,880089.5124949873
2016-12-12,345109.47872238886,72044.2982110483,,881652.9899453861
2016-12-19,345879.8068173774,72372.22533875388,,883073.0882466668
2016-12-26,346668.41857812635,72541.13090616844,,884539.0505088497
2017-01-02,346655.8298879431,72331.62932278885,75797.386842133,885910.4267503994
2017-01-09,346627.19667458464,71929.35392941214,75905.6289132596,887436.1602431627
2017-01-16,346639.52808137983,71772.84774485031,75915.72237959469,889029.1210870894
2017-01-23,346719.0999982663,72111.9191076233,75879.72122697064,890613.6928845483
2017-01-30,346835.0976186949,72763.84603349294,75861.78777757226,892175.332561895
2017-02-06,346935.0166211435,73329.93212796583,75891.1113394019,893752.0627036256
2017-02-13,346993.50077607034,73606.55667913861,75946.19946246048,895398.3863593728
2017-02-20,347021.0070208914,73723.90726996063,75989.84269417966,897150.7846217625
2017-02-27,347032.7596957369,73898.88047369153,76008.71385370489,899005.6055504348
2017-03-06,347022.6065085263,74147.8013742766,76017.44329948779,900918.7395293802
2017-03-13,346972.4503675755,74311.55259378761,76034.01513863781,902835.8778728718
2017-03-20,346880.7840484102,74321.40891931794,76061.47620172802,904736.7414080322
2017-03-27,346772.75937084376,74330.95036098866,76092.97566006813,906649.8229142159
2017-04-03,346679.8190944463,74533.24075312783,76125.02547734957,908614.236690968
2017-04-10,346613.15271662985,74905.10008284834,76159.73034688596,910625.997299755
2017-04-17,346559.4331685335,75219.50056608111,76198.34449188372,912634.0015195111
2017-04-24,346499.92675714137,75318.49200911638,76240.36939832894,914597.4706728609
2017-05-01,346430.4751137175,75298.76167351866,76288.41839229132,916536.7779488831
2017-05-08,346363.7863301818,75372.46322382931,76344.89869721414,918507.3714933522
2017-05-15,346315.8779344099,75584.74066634492,76398.22873825427,920518.6720163843
2017-05-22,346291.1493809146,75754.32747468674,76419.12435645715,922497.4422690015
2017-05-29,346277.83092844824,75713.9461166533,76383.83558594291,924351.9447101806
2017-06-05,345782.8054906719,75536.14076035358,76306.57032477573,926041.9698667558
2017-06-12,345270.9400294221,75445.41855757183,76240.99720354567,927673.5829871328
