,Dengue,Varicela,Chikungunya,Zika
11/17/2014,254034.452,651624.8362,13325.69872,NA
11/24/2014,254727.092,653651.3016,14451.08968,NA
12/1/2014,255340.1892,655652.356,15426.57706,NA
12/8/2014,256156.1683,657159.3714,16941.32614,NA
12/15/2014,257038.8271,658692.4537,18039.73322,NA
12/22/2014,257705.4095,660267.5908,18995.12913,NA
12/29/2014,258857.6307,662156.1558,21582.78388,NA
1/5/2015,260529.8438,664210.6369,23960.69897,NA
1/12/2015,261225.3244,665805.2403,25267.93097,NA
1/19/2015,261985.4587,667723.6947,26413.62971,NA
1/26/2015,262643.0317,668997.1928,27289.04677,NA
2/2/2015,263447.502,670753.8647,28889.31242,NA
2/9/2015,264059.9516,672513.2723,30148.68196,NA
2/16/2015,264833.8198,674141.396,31904.6877,NA
2/23/2015,265382.0673,676214.7477,33537.88366,NA
3/2/2015,266026.716,678274.0578,35127.82476,NA
3/9/2015,266722.8901,680648.9649,36832.65382,NA
3/16/2015,267301.4995,682632.9498,38176.2956,NA
3/23/2015,267742.2072,684174.1327,39799.58967,NA
3/30/2015,268273.222,686390.9406,41189.27788,NA
4/6/2015,268923.8319,688929.4242,43107.91752,NA
4/13/2015,269531.919,690913.0084,44702.29943,NA
4/20/2015,270185.7966,693052.0192,45998.50831,NA
4/27/2015,270842.6203,695101.0195,47717.39804,NA
5/4/2015,271438.1033,697298.7585,49531.67857,NA
5/11/2015,272196.9033,699242.4326,51135.9303,NA
5/18/2015,272735.0506,701541.5403,52793.73264,NA
5/25/2015,273397.7729,703855.2478,54258.17236,NA
6/1/2015,274080.283,705845.3247,55422.39287,NA
6/8/2015,274587.6477,707838.7872,56307.70403,NA
6/15/2015,275184.6523,709812.2138,57166.14627,NA
6/22/2015,275783.7982,711344.7295,57643.16034,NA
6/29/2015,276613.2135,713586.5447,58393.40927,NA
7/6/2015,277284.8892,715980.9262,59054.1425,NA
7/13/2015,277818.1377,717779.456,59392.66903,NA
7/20/2015,278387.2938,719945.0744,59761.1328,NA
7/27/2015,279051.7124,722226.6649,59983.70118,NA
8/3/2015,279602.7127,724531.8932,60232.26941,25.98837245
8/10/2015,280128.8355,727078.7824,60507.68343,48.98345317
8/17/2015,280792.4914,729754.6251,60692.55873,71.65718515
8/24/2015,281400.9225,732346.8443,60865.17602,74.6356428
8/31/2015,282083.8575,735100.2863,61026.42925,72.35270495
9/7/2015,282919.8755,737897.0514,61204.44479,86.87203398
9/14/2015,283635.5036,740837.1416,61385.21669,116.0896766
9/21/2015,284504.8876,743532.874,61498.97872,161.7390988
9/28/2015,285297.0383,746088.614,61611.7508,310.9655336
10/5/2015,286041.319,748589.1603,61782.83864,352.8759506
10/12/2015,286995.0327,751845.5613,62008.2945,458.0644289
10/19/2015,287870.7864,754446.0554,62112.92646,798.5058646
10/26/2015,288786.9868,756956.4693,62234.11826,1065.028033
11/2/2015,289758.2032,759902.1264,62371.81666,1450.517603
11/9/2015,290748.7386,762519.9497,62523.87054,2319.962196
11/16/2015,291558.3334,764864.1977,62665.55609,2663.841828
11/23/2015,292430.8559,766594.4255,62868.49542,2977.676615
11/30/2015,293579.1423,768285.5615,63091.31367,3854.554914
12/7/2015,294688.9736,769892.5927,63273.8221,4537.900646
12/14/2015,295688.3523,771153.222,63526.46676,5830.447503
12/21/2015,296747.6172,772425.0197,63670.23535,6230.68642
1/4/2016,297934.2494,773517.8386,64006.4212,6947.949805
1/11/2016,300091.8904,775346.8536,65052.23628,10931.25439
1/18/2016,302077.0281,777064.4755,65751.69257,13523.26293
1/25/2016,303775.6048,778477.3825,66147.65216,17613.02372
2/1/2016,305304.5111,779972.0948,66479.77071,22690.73909
2/8/2016,306944.945,781590.8803,66916.30513,26797.70701
2/15/2016,308580.8988,783356.4861,67430.75235,29705.28072
2/22/2016,309861.0203,785202.7947,67768.11303,32376.95272
2/29/2016,311184.3538,787172.7272,68184.51091,34400.25915
3/7/2016,312884.8587,789471.8963,68657.88991,37124.985
3/14/2016,313974.1038,791673.1804,68947.02252,39516.36865
3/21/2016,314968.0327,793470.9755,69166.62853,41070.03046
3/28/2016,316299.821,795559.0478,69473.07326,42417.59204
4/4/2016,318270.1509,798509.2042,70154.24021,46570.68865
4/11/2016,319200.8944,800594.0037,70543.80044,48793.19874
4/18/2016,320909.8429,803633.7306,70909.36953,51270.28251
4/25/2016,321970.9426,805953.8876,71336.41762,53501.08438
5/2/2016,323221.3317,808282.3332,71750.50583,55659.85003
5/9/2016,324480.5454,811038.8872,72204.72084,57541.15045
5/16/2016,325797.0198,813328.6015,72526.44718,59735.2927
5/23/2016,327210.2728,816154.4319,72989.62695,62022.0936
5/30/2016,328292.7364,818546.0215,73261.19664,63403.41978
6/6/2016,329306.6501,820498.9833,73563.82366,64803.86641
6/13/2016,330392.7098,822593.2401,73776.72157,66359.7203
6/20/2016,331325.7293,824281.4836,74028.44178,67325.46932
6/27/2016,332203.2588,826203.9634,74204.41878,68333.40021
7/4/2016,333052.8493,828067.8716,74330.80711,68800.84814
7/11/2016,334121.8868,830137.506,74529.80015,69591.22011
7/18/2016,334932.6361,832273.3354,74636.2683,70069.8379
7/25/2016,335560.7314,834031.0577,74747.56541,70380.65815
8/1/2016,336360.6838,836150.8129,74804.58847,70870.28124
8/8/2016,336986.4447,838629.8909,74957.97324,71090.84975
8/15/2016,337607.7981,840752.7095,75014.36139,71271.13958
8/22/2016,338427.2031,843179.981,75115.12799,71560.69278
8/29/2016,338966.8738,845474.2306,75187.4711,71748.05658
9/5/2016,339542.3049,848000.1913,75231.54321,71917.1145
9/12/2016,340057.7975,850603.5421,75273.98135,72055.44979
9/19/2016,340530.3705,853298.7013,75314.67217,72143.42597
9/26/2016,340896.4537,856044.7799,75358.04288,72312.32838
10/3/2016,341381.9072,859216.1953,75400.58162,72424.47368
10/10/2016,341660.0873,861625.5735,75457.35545,72488.78213
10/17/2016,342024.5616,864070.6307,75514.33036,72566.5554
10/24/2016,342461.6183,867621.5904,75573.20767,72697.53461
10/31/2016,342729.1216,869875.136,75615.64069,72749.35975
11/7/2016,343097.1021,872557.027,75631.46866,72847.94942
11/14/2016,343394.2806,875214.3871,75662.94924,72866.64702
11/21/2016,343662.0381,877442.8008,75731.68335,72919.72292
11/28/2016,343946.3663,879142.1962,75756.50071,72988.38145
12/5/2016,344118.5726,880920.3841,NA,73038.17419
12/12/2016,344339.1456,882381.7232,NA,73120.57839
12/19/2016,344551.9743,883908.7191,NA,73170.16044
12/26/2016,344731.8875,884944.1164,NA,73221.78721
1/2/2017,344986.7292,885857.0876,75750.60942,73240.59214
1/9/2017,345326.215,887450.2337,75822.29427,73322.86319
1/16/2017,345561.9875,889047.0468,75880.04086,73344.35729
1/23/2017,345865.8352,890580.6583,75903.01967,73459.73608
1/30/2017,346022.9134,892107.3486,75930.54001,73547.02827
2/6/2017,346170.8542,893710.7479,75965.43325,73608.38327
2/13/2017,346394.7237,895379.4853,75990.91543,73691.75124
2/20/2017,346499.6603,897233.3062,76024.08238,73735.68795
2/27/2017,346630.2119,898733.9873,76033.02421,73798.71364
3/6/2017,346791.0287,901039.3917,76054.37254,73881.7224
3/13/2017,346905.1968,903126.7235,76080.93139,73935.88915
