date,Dengue,Zika,Chikungunya,Varicela
2012-10-22,139199.6875,,,440254.1875
2012-10-29,139690.125,,,442737.84375
2012-11-05,140182.03125,,,445228.6875
2012-11-12,140689.34375,,,447594.78125
2012-11-19,141215.421875,,,449913.375
2012-11-26,141773.875,,,452130.34375
2012-12-03,142340.9375,,,454229.4375
2012-12-10,142909.75,,,456158.0625
2012-12-17,143509.625,,,457941.28125
2012-12-24,144101.65625,,,459568.875
2012-12-31,144652.109375,,,461003.21875
2013-01-07,145313.984375,,,462382.53125
2013-01-14,146082.90625,,,463764.6875
2013-01-21,146903.5,,,465208.125
2013-01-28,147781.546875,,,466701.0625
2013-02-04,148722.703125,,,468220.4375
2013-02-11,149680.171875,,,469747.28125
2013-02-18,150624.78125,,,471242.625
2013-02-25,151626.328125,,,472752.15625
2013-03-04,152633.484375,,,474311.9375
2013-03-11,153655.8125,,,475916.75
2013-03-18,154687.921875,,,477569.21875
2013-03-25,155732.734375,,,479213.375
2013-04-01,156769.375,,,480812.34375
2013-04-08,157931.203125,,,482510.875
2013-04-15,159244.125,,,484203.84375
2013-04-22,160686.890625,,,485935.28125
2013-04-29,162167.609375,,,487637.25
2013-05-06,163667.984375,,,489365.9375
2013-05-13,165140.875,,,491066.4375
2013-05-20,166589.34375,,,492737.90625
2013-05-27,168071.28125,,,494480.84375
2013-06-03,169554.484375,,,496207.5625
2013-06-10,171011.546875,,,497938.25
2013-06-17,172457.90625,,,499619.46875
2013-06-24,173883.609375,,,501243.59375
2013-07-01,175261.796875,,,502752.03125
2013-07-08,176687.15625,,,504238.125
2013-07-15,178149.78125,,,505747.0
2013-07-22,179645.53125,,,507300.0
2013-07-29,181092.34375,,,508900.375
2013-08-05,182465.09375,,,510556.125
2013-08-12,183750.015625,,,512273.46875
2013-08-19,184937.953125,,,514019.0625
2013-08-26,186090.515625,,,515825.375
2013-09-02,187172.140625,,,517722.4375
2013-09-09,188225.984375,,,519714.78125
2013-09-16,189298.75,,,521783.46875
2013-09-23,190397.953125,,,523963.4375
2013-09-30,191517.796875,,,526163.8125
2013-10-07,192674.703125,,,528385.5625
2013-10-14,193821.703125,,,530640.5625
2013-10-21,195008.171875,,,533046.375
2013-10-28,196204.359375,,,535491.75
2013-11-04,197393.9375,,,537974.8125
2013-11-11,198570.921875,,,540453.4375
2013-11-18,199786.609375,,,542930.0625
2013-11-25,201014.0,,,545288.1875
2013-12-02,202203.296875,,,547511.75
2013-12-09,203390.796875,,,549628.9375
