date,dengue_no_split,zika,varicela,chicunguya
2/27/2017,329570.2288,71022.43703,913242.1726,74299.29347
3/6/2017,330355.9494,71238.67029,914859.8094,74376.35349
3/13/2017,331141.644,71447.3476,916469.8264,74451.14105
3/20/2017,331927.3077,71648.71513,918072.2262,74523.72052
3/27/2017,332712.9357,71843.01235,919667.0118,74594.15459
4/3/2017,333498.5232,72030.47205,921254.1867,74662.50437
4/10/2017,334284.0654,72211.32044,922833.7547,74728.82931
4/17/2017,335069.5574,72385.77731,924405.7201,74793.18734
4/24/2017,335854.9945,72554.05608,925970.0877,74855.63483
5/1/2017,336640.3718,72716.36395,927526.8628,74916.22663
5/8/2017,337425.6844,72872.902,929076.0509,74975.01617
5/15/2017,338210.9277,73023.86529,930617.6582,75032.05541
5/22/2017,338996.0967,73169.44305,932151.6912,75087.39493
5/29/2017,339781.1867,73309.81871,933678.1568,75141.08392
6/5/2017,340566.1928,73445.17011,935197.0623,75193.17026
6/12/2017,341351.1103,73575.66958,936708.4155,75243.7005
6/19/2017,342135.9344,73701.48407,938212.2246,75292.71994
6/26/2017,342920.6602,73822.7753,939708.498,75340.2726
7/3/2017,343705.2829,73939.69987,941197.2449,75386.40131
7/10/2017,344489.7978,74052.40939,942678.4744,75431.1477
7/17/2017,345274.2001,74161.05062,944152.1963,75474.55226
7/24/2017,346058.4849,74265.76557,945618.4207,75516.65432
7/31/2017,346842.6475,74366.69165,947077.1582,75557.49214
8/7/2017,347626.6831,74463.96179,948528.4195,75597.1029
8/14/2017,348410.5869,74557.70455,949972.216,75635.52271
8/21/2017,349194.3541,74648.04425,951408.5591,75672.78669
8/28/2017,349977.98,74735.1011,952837.4608,75708.92896
9/4/2017,350761.4598,74818.99127,954258.9334,75743.98266
9/11/2017,351544.7887,74899.8271,955672.9895,75777.98001
9/18/2017,352327.962,74977.7171,957079.6422,75810.95229
9/25/2017,353110.9749,75052.76615,958478.9047,75842.92989
10/2/2017,353893.8226,75125.07557,959870.7906,75873.94233
10/9/2017,354676.5004,75194.74322,961255.314,75904.0183
10/16/2017,355459.0036,75261.86365,962632.4892,75933.18565
10/23/2017,356241.3273,75326.52813,964002.3307,75961.47142
10/30/2017,357023.4669,75388.82483,965364.8535,75988.90188
11/6/2017,357805.4177,75448.83884,966720.0728,76015.50254
11/13/2017,358587.1748,75506.65235,968068.0042,76041.29817
11/20/2017,359368.7337,75562.34467,969408.6634,76066.31281
11/27/2017,360150.0894,75615.99236,970742.0667,76090.56982
12/4/2017,360931.2374,75667.66931,972068.2304,76114.09187
12/11/2017,361712.173,75717.44682,973387.1712,76136.90096
12/18/2017,362492.8914,75765.3937,974698.9061,76159.01846
12/25/2017,363273.3879,75811.57632,976003.4524,76180.4651
1/1/2018,364053.6578,75856.05874,977300.8276,76201.26102
