SEMANA,ANO,country,state,city,count,idx_city,Latitude,Longitude,date,week
2,2007,colombia,arauca,arauca,2,COLOMBIA_ARAUCA_ARAUCA,7.0851994,-70.7577762,2007-01-14,14-01-2007
2,2007,colombia,atlantico,barranquilla,5,COLOMBIA_ATLANTICO_BARRANQUILLA,11.0101922,-74.8231794084391,2007-01-14,14-01-2007
2,2007,colombia,atlantico,galapa,2,COLOMBIA_ATLANTICO_GALAPA,10.8968665,-74.8859608,2007-01-14,14-01-2007
2,2007,colombia,atlantico,malambo,4,COLOMBIA_ATLANTICO_MALAMBO,10.8653387,-74.7746194,2007-01-14,14-01-2007
2,2007,colombia,atlantico,puerto colombia,4,COLOMBIA_ATLANTICO_PUERTO COLOMBIA,10.9891292,-74.955414,2007-01-14,14-01-2007
2,2007,colombia,atlantico,sabanagrande,1,COLOMBIA_ATLANTICO_SABANAGRANDE,10.80408175,-74.77445095710297,2007-01-14,14-01-2007
2,2007,colombia,atlantico,sabanalarga,1,COLOMBIA_ATLANTICO_SABANALARGA,10.6307159,-74.9209378,2007-01-14,14-01-2007
2,2007,colombia,atlantico,santo tomas,1,COLOMBIA_ATLANTICO_SANTO TOMAS,10.760241,-74.7561781,2007-01-14,14-01-2007
2,2007,colombia,atlantico,soledad,6,COLOMBIA_ATLANTICO_SOLEDAD,10.9149593,-74.7821054,2007-01-14,14-01-2007
2,2007,colombia,bolivar,cartagena,2,COLOMBIA_BOLIVAR_CARTAGENA,10.4265566,-75.5441671,2007-01-14,14-01-2007
2,2007,colombia,boyaca,boyaca,1,COLOMBIA_BOYACA_BOYACA,5.4428193,-73.37452239255038,2007-01-14,14-01-2007
2,2007,colombia,boyaca,moniquira,1,COLOMBIA_BOYACA_MONIQUIRA,5.8763096,-73.5732077,2007-01-14,14-01-2007
2,2007,colombia,caldas,chinchina,3,COLOMBIA_CALDAS_CHINCHINA,4.9830232,-75.6054129,2007-01-14,14-01-2007
2,2007,colombia,caqueta,albania,1,COLOMBIA_CAQUETA_ALBANIA,1.3290058,-75.8786065,2007-01-14,14-01-2007
2,2007,colombia,caqueta,puerto rico,2,COLOMBIA_CAQUETA_PUERTO RICO,1.909392,-75.1530969,2007-01-14,14-01-2007
2,2007,colombia,casanare,san luis de palenque,3,COLOMBIA_CASANARE_SAN LUIS DE PALENQUE,5.422039,-71.7314386,2007-01-14,14-01-2007
2,2007,colombia,casanare,yopal,3,COLOMBIA_CASANARE_YOPAL,5.3356662,-72.3936931,2007-01-14,14-01-2007
2,2007,colombia,cauca,florencia,1,COLOMBIA_CAUCA_FLORENCIA,1.6830289,-77.0726877,2007-01-14,14-01-2007
2,2007,colombia,cesar,curumani,2,COLOMBIA_CESAR_CURUMANI,9.1995316,-73.5440609,2007-01-14,14-01-2007
2,2007,colombia,cesar,la jagua de ibirico,1,COLOMBIA_CESAR_LA JAGUA DE IBIRICO,9.5613975,-73.3328147,2007-01-14,14-01-2007
2,2007,colombia,cesar,pelaya,1,COLOMBIA_CESAR_PELAYA,8.6857187,-73.6690054,2007-01-14,14-01-2007
2,2007,colombia,cesar,san alberto,1,COLOMBIA_CESAR_SAN ALBERTO,7.7611095,-73.3932831,2007-01-14,14-01-2007
2,2007,colombia,cesar,valledupar,4,COLOMBIA_CESAR_VALLEDUPAR,10.4651733,-73.2529512,2007-01-14,14-01-2007
2,2007,colombia,cordoba,monteria,2,COLOMBIA_CORDOBA_MONTERIA,8.7509361,-75.8786806,2007-01-14,14-01-2007
2,2007,colombia,cundinamarca,anapoima,1,COLOMBIA_CUNDINAMARCA_ANAPOIMA,4.5493011,-74.5359119,2007-01-14,14-01-2007
2,2007,colombia,cundinamarca,fusagasuga,1,COLOMBIA_CUNDINAMARCA_FUSAGASUGA,4.3247005000000005,-74.39135684787772,2007-01-14,14-01-2007
2,2007,colombia,cundinamarca,girardot,4,COLOMBIA_CUNDINAMARCA_GIRARDOT,4.306643,-74.8015665,2007-01-14,14-01-2007
2,2007,colombia,cundinamarca,paratebueno,1,COLOMBIA_CUNDINAMARCA_PARATEBUENO,4.3765197,-73.2125493,2007-01-14,14-01-2007
2,2007,colombia,cundinamarca,villeta,1,COLOMBIA_CUNDINAMARCA_VILLETA,5.0112575,-74.4702304,2007-01-14,14-01-2007
2,2007,colombia,guaviare,san jose del guaviare,1,COLOMBIA_GUAVIARE_SAN JOSE DEL GUAVIARE,2.5716141,-72.6426515,2007-01-14,14-01-2007
2,2007,colombia,huila,campoalegre,3,COLOMBIA_HUILA_CAMPOALEGRE,2.6851032,-75.3263227,2007-01-14,14-01-2007
2,2007,colombia,huila,iquira,1,COLOMBIA_HUILA_IQUIRA,2.6499277,-75.6352082,2007-01-14,14-01-2007
2,2007,colombia,huila,neiva,1,COLOMBIA_HUILA_NEIVA,2.9257038,-75.2893937,2007-01-14,14-01-2007
2,2007,colombia,huila,suaza,3,COLOMBIA_HUILA_SUAZA,1.9772874,-75.7946272,2007-01-14,14-01-2007
2,2007,colombia,magdalena,cienaga,1,COLOMBIA_MAGDALENA_CIENAGA,11.0062433,-74.241022,2007-01-14,14-01-2007
2,2007,colombia,magdalena,santa martha,4,COLOMBIA_MAGDALENA_SANTA MARTHA,11.1486749,-74.11324,2007-01-14,14-01-2007
2,2007,colombia,meta,meta municipio desconocido,1,COLOMBIA_META_* META. MUNICIPIO DESCONOCIDO,,,2007-01-14,14-01-2007
2,2007,colombia,meta,acacias,3,COLOMBIA_META_ACACIAS,3.9887317,-73.767432,2007-01-14,14-01-2007
2,2007,colombia,meta,puerto lopez,1,COLOMBIA_META_PUERTO LOPEZ,4.0891674,-72.96059024775572,2007-01-14,14-01-2007
2,2007,colombia,meta,san martin,1,COLOMBIA_META_SAN MARTIN,3.6943897,-73.6952914,2007-01-14,14-01-2007
2,2007,colombia,meta,villavicencio,6,COLOMBIA_META_VILLAVICENCIO,4.1347644,-73.6201517,2007-01-14,14-01-2007
2,2007,colombia,norte santander,cucuta,53,COLOMBIA_NORTE SANTANDER_CUCUTA,8.131792075077092,-72.8867588702224,2007-01-14,14-01-2007
2,2007,colombia,norte santander,el zulia,1,COLOMBIA_NORTE SANTANDER_EL ZULIA,8.09548865,-72.64637754651707,2007-01-14,14-01-2007
