SEMANA,ANO,Casos,DATE
36,2017,1640,2017-09-04
37,2017,1861,2017-09-11
38,2017,1735,2017-09-18
39,2017,1775,2017-09-25
40,2017,1723,2017-10-02
41,2017,1672,2017-10-09
42,2017,2049,2017-10-16
43,2017,1780,2017-10-23
44,2017,1756,2017-10-30
45,2017,1841,2017-11-06
46,2017,1662,2017-11-13
47,2017,1710,2017-11-20
48,2017,1461,2017-11-27
49,2017,1230,2017-12-04
50,2017,1166,2017-12-11
51,2017,911,2017-12-18
52,2017,849,2017-12-25
1,2018,1081,2018-01-01
2,2018,1126,2018-01-08
3,2018,1108,2018-01-15
4,2018,1135,2018-01-22
5,2018,1249,2018-01-29
6,2018,1360,2018-02-05
7,2018,1287,2018-02-12
8,2018,1387,2018-02-19
9,2018,1477,2018-02-26
10,2018,1690,2018-03-05
11,2018,1755,2018-03-12
12,2018,1894,2018-03-19
13,2018,1633,2018-03-26
14,2018,2154,2018-04-02
15,2018,1882,2018-04-09
16,2018,2190,2018-04-16
17,2018,1931,2018-04-23
18,2018,2060,2018-04-30
19,2018,1902,2018-05-07
20,2018,1933,2018-05-14
21,2018,2055,2018-05-21
22,2018,1811,2018-05-28
23,2018,1769,2018-06-04
24,2018,1562,2018-06-11
25,2018,1289,2018-06-18
26,2018,1206,2018-06-25
27,2018,1310,2018-07-02
28,2018,1348,2018-07-09
29,2018,1215,2018-07-16
30,2018,1258,2018-07-23
31,2018,1264,2018-07-30
32,2018,1339,2018-08-06
33,2018,1353,2018-08-13
34,2018,1378,2018-08-20
35,2018,1491,2018-08-27
36,2018,1423,2018-09-03
37,2018,1510,2018-09-10
38,2018,1534,2018-09-17
39,2018,1592,2018-09-24
40,2018,1492,2018-10-01
41,2018,1438,2018-10-08
42,2018,1759,2018-10-15
43,2018,1450,2018-10-22
44,2018,1553,2018-10-29
45,2018,1354,2018-11-05
46,2018,1421,2018-11-12
47,2018,1328,2018-11-19
48,2018,1105,2018-11-26
49,2018,981,2018-12-03
50,2018,979,2018-12-10
51,2018,799,2018-12-17
52,2018,747,2018-12-24
1,2019,841,2018-12-31
2,2019,1047,2019-01-07
3,2019,1074,2019-01-14
4,2019,1137,2019-01-21
5,2019,1090,2019-01-28
6,2019,1117,2019-02-04
7,2019,1195,2019-02-11
8,2019,1325,2019-02-18
9,2019,1282,2019-02-25
10,2019,1513,2019-03-04
11,2019,1511,2019-03-11
12,2019,1499,2019-03-18
13,2019,1632,2019-03-25
14,2019,1667,2019-04-01
15,2019,1465,2019-04-08
16,2019,1500,2019-04-15
17,2019,1561,2019-04-22
18,2019,1509,2019-04-29
19,2019,1713,2019-05-06
20,2019,1572,2019-05-13
21,2019,1734,2019-05-20
22,2019,1627,2019-05-27
23,2019,1613,2019-06-03
24,2019,1431,2019-06-10
25,2019,1254,2019-06-17
26,2019,1133,2019-06-24
