city,state,country,Latitude,Longitude,idx_city,status,nearest_city
segovia,antioquia,colombia,7.081679,-74.7009089,COLOMBIA_ANTIOQUIA_SEGOVIA,empty,COLOMBIA_ANTIOQUIA_YONDO (CASABE)
valdivia,antioquia,colombia,7.165519,-75.438614,COLOMBIA_ANTIOQUIA_VALDIVIA,empty,COLOMBIA_ANTIOQUIA_SAN JERONIMO
vigia del fuerte,antioquia,colombia,6.5896299,-76.8962209,COLOMBIA_ANTIOQUIA_VIGIA DEL FUERTE,empty,COLOMBIA_CHOCO_MEDIO ATRATO
repelon,atlantico,colombia,10.4950081,-75.1244823,COLOMBIA_ATLANTICO_REPELON,empty,COLOMBIA_BOLIVAR_VILLANUEVA
achi,bolivar,colombia,8.5689588,-74.5557643,COLOMBIA_BOLIVAR_ACHI,empty,COLOMBIA_SUCRE_GALERAS (NUEVA GRANADA)
arroyohondo,bolivar,colombia,10.24402435,-75.0283270068316,COLOMBIA_BOLIVAR_ARROYOHONDO,empty,COLOMBIA_BOLIVAR_ARJONA
montecristo,bolivar,colombia,7.93057835,-74.40743965367216,COLOMBIA_BOLIVAR_MONTECRISTO,empty,COLOMBIA_SANTANDER_BARRANCABERMEJA
san martin de loba,bolivar,colombia,8.9370479,-74.038373,COLOMBIA_BOLIVAR_SAN MARTIN DE LOBA,empty,COLOMBIA_SUCRE_BUENAVISTA
zambrano,bolivar,colombia,9.7414779,-74.8177731,COLOMBIA_BOLIVAR_ZAMBRANO,empty,COLOMBIA_SUCRE_SAN PEDRO
macanal,boyaca,colombia,4.98185045,-73.28546066152629,COLOMBIA_BOYACA_MACANAL,empty,COLOMBIA_CUNDINAMARCA_TOCANCIPA
moniquira,boyaca,colombia,5.8763096,-73.5732077,COLOMBIA_BOYACA_MONIQUIRA,empty,COLOMBIA_CUNDINAMARCA_ZIPAQUIRA
puerto boyaca,boyaca,colombia,5.9756376,-74.5882837,COLOMBIA_BOYACA_PUERTO BOYACA,empty,COLOMBIA_ANTIOQUIA_COCORNA
belen de los andaquies,caqueta,colombia,1.4200848,-75.8714223,COLOMBIA_CAQUETA_BELEN DE LOS ANDAQUIES,empty,COLOMBIA_CAQUETA_MORELIA
puerto rico,caqueta,colombia,1.909392,-75.1530969,COLOMBIA_CAQUETA_PUERTO RICO,empty,COLOMBIA_CAQUETA_EL DONCELLO
sabanalarga,casanare,colombia,4.8564547,-73.0390642,COLOMBIA_CASANARE_SABANALARGA,empty,COLOMBIA_META_CUMARAL
tauramena,casanare,colombia,5.013414,-72.7507084,COLOMBIA_CASANARE_TAURAMENA,empty,COLOMBIA_META_CUMARAL
mercaderes,cauca,colombia,1.7984873,-77.1610748,COLOMBIA_CAUCA_MERCADERES,empty,COLOMBIA_NARIÑO_LA UNION
miranda,cauca,colombia,3.2511475,-76.2291572,COLOMBIA_CAUCA_MIRANDA,empty,COLOMBIA_VALLE_PRADERA
piamonte,cauca,colombia,1.1185119,-76.3265519,COLOMBIA_CAUCA_PIAMONTE,empty,COLOMBIA_PUTUMAYO_PUERTO CAICEDO
puerto tejada,cauca,colombia,3.2288972,-76.4192267,COLOMBIA_CAUCA_PUERTO TEJADA,empty,COLOMBIA_VALLE_CANDELARIA
santa rosa,cauca,colombia,1.7018257,-76.5725868,COLOMBIA_CAUCA_SANTA ROSA,empty,COLOMBIA_NARIÑO_LA UNION
suarez,cauca,colombia,2.9543543,-76.6948801,COLOMBIA_CAUCA_SUAREZ,empty,COLOMBIA_CAUCA_PIENDAMO
becerril,cesar,colombia,9.7032785,-73.2786054,COLOMBIA_CESAR_BECERRIL,empty,COLOMBIA_CESAR_SAN DIEGO
chiriguana,cesar,colombia,9.3636401,-73.6016974,COLOMBIA_CESAR_CHIRIGUANA,empty,COLOMBIA_CESAR_SAN DIEGO
el copey,cesar,colombia,10.1492075,-73.9611708,COLOMBIA_CESAR_EL COPEY,empty,COLOMBIA_CESAR_VALLEDUPAR
pailitas,cesar,colombia,8.9589902,-73.6216938,COLOMBIA_CESAR_PAILITAS,empty,COLOMBIA_NORTE SANTANDER_EL ZULIA
belen de bajira,choco,colombia,7.4365576,-77.1122594,COLOMBIA_CHOCO_BELÉN DE BAJIRA,empty,COLOMBIA_ANTIOQUIA_CHIGORODO
